# keld.product-status/v1
# id	owner	platform	current	current_note	current_evidence	target	target_source	issues	last_verified_sha
crate.keld-cli	crate:keld-cli	all	partial	create, dev, doctor, MCP, hello, and IPC diagnostics exist; build, migrate, gen, and ext remain reserved.	code:crates/keld-cli/src/lib.rs;test:crates/keld-cli/tests/cli_kel29.rs	specified	docs/architecture/06-runtime-and-tooling.md	KEL-29,KEL-42,KEL-96	43cab25dd13b3d7379e03c4662482d3f40ea1a40
package.keld-electron	package:@keld/electron	all	partial	The Electron facade implements lifecycle and the app-link client; the wider Electron module surface is absent.	code:packages/@keld/electron/src/index.ts;test:packages/@keld/electron/src/app.test.ts	specified	docs/architecture/04-electron-compat.md	KEL-72	43cab25dd13b3d7379e03c4662482d3f40ea1a40
package.keld-api	package:@keld/api	all	specified	The typed SDK for supervised Bun roles is specified but no package is tracked.	-	specified	docs/architecture/01-overview.md	-	43cab25dd13b3d7379e03c4662482d3f40ea1a40
package.keld-web	package:@keld/web	all	specified	The renderer bridge and polyfill package are specified but no package is tracked.	-	specified	docs/architecture/01-overview.md	-	43cab25dd13b3d7379e03c4662482d3f40ea1a40
package.keld-cli	package:@keld/cli	all	specified	The npm binary resolver is specified but no package is tracked.	-	specified	docs/architecture/01-overview.md	-	43cab25dd13b3d7379e03c4662482d3f40ea1a40
package.keld-schema	package:@keld/schema	all	specified	The contract-definition and code-generation package is specified but no package is tracked.	-	specified	docs/architecture/02-ipc.md	-	43cab25dd13b3d7379e03c4662482d3f40ea1a40
package.create-keld	package:create-keld	all	specified	The package-manager scaffolding entrypoint is specified but no package is tracked.	-	specified	docs/architecture/06-runtime-and-tooling.md	-	43cab25dd13b3d7379e03c4662482d3f40ea1a40
phase.0	phase:0	all	partial	The tracked workspace, architecture, agent workflow, and CI exist; the first attributed performance harness remains absent.	code:crates/keld-core/src/lib.rs;ci:.github/workflows/ci.yml	specified	docs/architecture/01-overview.md	KEL-39	43cab25dd13b3d7379e03c4662482d3f40ea1a40
phase.1	phase:1	all	partial	macOS and Windows no-flag app sessions exist; Linux product boot and the full public role API remain absent.	code:crates/keld-core/src/lib.rs;test:crates/keld-host/tests/no_flag_windows.rs	specified	docs/architecture/01-overview.md	KEL-96	43cab25dd13b3d7379e03c4662482d3f40ea1a40
phase.2	phase:2	all	partial	MCP v1, permission evaluation, guard dispatch, and one filesystem broker exist; bulk IPC, codegen, and broad compatibility remain absent.	code:crates/keld-guard/src/lib.rs;code:crates/keld-cli/src/mcp/mod.rs	specified	docs/architecture/02-ipc.md	KEL-42,KEL-69,KEL-71	43cab25dd13b3d7379e03c4662482d3f40ea1a40
phase.3	phase:3	all	partial	The standalone Linux strict mechanism is implemented and proven; product admission, distribution, signed updates, remaining OS profiles, limits, reporting, and addon workers remain incomplete.	code:crates/keld-runtime/src/linux_strict.rs;test:crates/keld-runtime/tests/linux_strict_boundary.rs	specified	docs/architecture/06-runtime-and-tooling.md	KEL-53,KEL-78	51c52f6772b3587b8fe1b1023e492e419f5e242c
phase.4	phase:4	all	specified	Compatibility-depth, corpus, pinned-engine, and stable-plugin goals are specified but not implemented.	-	specified	docs/architecture/04-electron-compat.md	KEL-74	43cab25dd13b3d7379e03c4662482d3f40ea1a40
surface.windows-app-link	surface:windows-app-link	windows	partial	The shipping app-link uses a current-user protected named pipe plus HELLO; distinct ordinary-user denial and authorized same-user successor echo are proven, while decimal diagnostic compatibility remains.	code:crates/keld-ipc/src/windows_named_pipe.rs;test:crates/keld-ipc/tests/echo_link.rs	specified	docs/specs/kel101-windows-named-pipe-dacl.md	KEL-101	43cab25dd13b3d7379e03c4662482d3f40ea1a40
surface.no-flag-macos	surface:no-flag-macos	macos	partial	The no-flag host, native window, app link, recovery, and ordered cleanup are implemented for the current slice.	code:crates/keld-core/src/app_session.rs;test:crates/keld-host/tests/no_flag_macos.rs	specified	docs/specs/kel96-no-flag-host-boot.md	KEL-96	43cab25dd13b3d7379e03c4662482d3f40ea1a40
surface.no-flag-windows	surface:no-flag-windows	windows	partial	The no-flag host, native window, named-pipe app link, recovery, and ordered cleanup are implemented for the current slice.	code:crates/keld-core/src/app_session.rs;test:crates/keld-host/tests/no_flag_windows.rs	specified	docs/specs/kel96-no-flag-host-boot.md	KEL-96,KEL-101	43cab25dd13b3d7379e03c4662482d3f40ea1a40
surface.no-flag-linux	surface:no-flag-linux	linux	specified	Linux no-flag product boot is specified and currently fails closed.	-	specified	docs/specs/kel96-no-flag-host-boot.md	KEL-96	43cab25dd13b3d7379e03c4662482d3f40ea1a40
